contigname	ERR011349_ERR011349
k79_9290	4.78307
k79_9291	2.68367
k79_32251	6.43017
k79_32252	5.15315
k79_9292	6.58594
k79_32253	12.7177
k79_100	1.98889
k79_4661	7.21322
k79_9293	5.92437
k79_32254	3.35338
k79_101	5.54412
k79_27633	7.2228
k79_9294	10.375
k79_4662	3.38117
k79_102	9.00585
k79_32255	3.48165
k79_27634	2.77059
k79_9295	5.47458
k79_4663	6.58333
k79_27635	4.57792
k79_9296	4.17568
k79_32256	6.10177
k79_103	4.15877
k79_4664	5.73099
k79_27636	3.82482
k79_27637	2.79268
k79_4665	6.86538
k79_104	4.61416
k79_4666	3.2437
k79_27638	4.59722
k79_105	3.26724
k79_4667	4.6391
k79_32257	8.32755
k79_27639	7.01531
k79_4668	2.4837
k79_27640	7.66176
k79_106	5.625
k79_27641	2.55556
k79_27642	4.08065
k79_4669	3.76923
k79_27643	9.10909
k79_9297	18.6261
k79_4670	5.32692
k79_27644	3.07006
k79_107	3.90642
k79_9298	1.65041
k79_4671	2.53757
k79_27645	3.5935
k79_9299	3.98291
k79_32258	13.3021
k79_4672	3.53333
k79_9300	7.58333
k79_27646	3.06637
k79_32259	4.28161
k79_27647	9.61739
k79_32260	12.9043
k79_9301	8.5919
k79_27648	4.00645
k79_32261	12.935
k79_108	11.0299
k79_27649	2.82143
k79_9302	5.21395
k79_109	3.48515
k79_4673	9.23277
k79_32262	2.32781
k79_13835	24.4233
k79_9303	8.93939
k79_110	10.0914
k79_9304	3.33913
k79_9305	2.87662
k79_111	10.5436
k79_4674	4.25316
k79_13836	4.90807
k79_27650	11.6513
k79_9306	2.1
k79_13837	12.4962
k79_32263	19.3197
k79_27651	7.22156
k79_9307	3.87037
k79_4675	7.12085
k79_13838	6.09934
k79_32264	2.87097
k79_27652	5.32903
k79_112	12.4842
k79_4676	4.36
k79_27653	7.44371
k79_113	8.93548
k79_32265	6.71264
k79_13839	4.37082
k79_9308	4.75459
k79_27654	57.3109
k79_13840	2.89076
k79_32266	4.59477
k79_9309	4.84475
k79_9310	3.99083
k79_32267	11.1499
k79_13841	10.4286
k79_4677	11.6696
k79_9311	7.18182
k79_32268	5.09272
k79_13842	7.5991
k79_27655	4.65235
k79_32269	8.81271
k79_4678	4.52812
k79_27656	4.13609
k79_32270	3.47287
k79_27657	2.93846
k79_32271	4.46753
k79_9312	18.6399
k79_4679	7.07034
k79_4680	8.32203
k79_9313	7.24646
k79_4681	3.75385
k79_27658	5.21824
k79_9314	5.23333
k79_9315	2.25397
k79_32272	9.85523
k79_27659	54.0456
k79_4682	11.0122
k79_32273	4.25
k79_27660	10.2137
k79_13843	11.8551
k79_9316	3.53205
k79_32274	3.45399
k79_27661	5.60741
k79_4683	7.51877
k79_13844	3.39597
k79_114	4.95261
k79_27662	3.55714
k79_115	3.03371
k79_27663	8.49091
k79_4684	7.73994
k79_13845	4.26009
k79_116	3.05535
k79_27664	5.76056
k79_13846	6.32
k79_4685	6.4661
k79_27665	12.985
k79_13847	4.80952
k79_23054	45.7365
k79_4686	5.39216
k79_32275	8.44399
k79_4687	6.27891
k79_23055	7.78191
k79_27666	4.4466
k79_13848	7.19277
k79_18453	4.22275
k79_13849	9.16026
k79_23056	6.01056
k79_32276	6.1093
k79_18454	11.6905
k79_13850	2.7551
k79_18455	5.0
k79_9317	5.71429
k79_32277	4.30594
k79_32278	2.84615
k79_13851	5.98091
k79_13852	5.26531
k79_4688	8.76423
k79_32279	8.16633
k79_18456	4.34503
k79_9318	5.30886
k79_117	7.138
k79_13853	3.96963
k79_23057	3.61628
k79_9319	4.63462
k79_13854	2.85795
k79_9320	4.75
k79_4689	4.03049
k79_13855	5.28627
k79_4690	3.95808
k79_13856	3.65263
k79_32280	6.56356
k79_9321	8.28252
k79_13857	3.59783
k79_4691	3.64904
k79_9322	6.0625
k79_13858	6.94737
k79_18457	5.44299
k79_118	9.24467
k79_4692	9.64315
k79_23058	7.99832
k79_13859	3.02239
k79_4693	3.32787
k79_23059	3.26316
k79_13860	6.27273
k79_119	6.12403
k79_4694	2.76154
k79_18458	8.075
k79_9323	6.94118
k79_120	6.50407
k79_23060	7.00913
k79_13861	57.8386
k79_9324	10.1238
k79_23061	7.87611
k79_4695	6.02208
k79_9325	3.84211
k79_13862	10.601
k79_23062	6.6
k79_18459	6.55098
k79_9326	6.80282
k79_32281	27.3599
k79_121	6.61083
k79_13863	6.95517
k79_9327	4.7957
k79_18460	9.92157
k79_23063	5.65675
k79_13864	2.86667
k79_122	2.11255
k79_13865	4.13684
k79_18461	6.90541
k79_18462	8.80952
k79_23064	10.6117
k79_18463	4.15966
k79_18464	4.75
k79_18465	4.96443
k79_9328	10.9393
k79_9329	3.61321
k79_18466	10.3242
k79_32282	11.4238
k79_18467	9.89923
k79_4696	9.86032
k79_123	8.97845
k79_18468	10.8902
k79_9330	9.92358
k79_18469	4.91667
k79_4697	7.29448
k79_32283	5.17663
k79_9331	6.43689
k79_4698	3.61404
k79_32284	6.5913
k79_9332	3.67427
k79_4699	3.78758
k79_18470	4.61345
k79_124	9.7443
k79_9333	3.765
k79_32285	10.6721
k79_125	3.11465
k79_18471	3.74359
k79_9334	11.0536
k79_4700	8.04924
k79_126	6.85849
k79_9335	5.51929
k79_127	7.34718
k79_4701	4.01542
k79_32286	5.26757
k79_128	7.33766
k79_32287	5.46857
k79_4702	6.28182
k79_9336	6.11492
k79_4703	2.97345
k79_32288	8.20809
k79_129	4.90311
k79_18472	5.86651
k79_32289	4.0
k79_4704	5.94872
k79_130	6.03846
k79_18473	3.70732
k79_9337	2.7355
k79_4705	7.6135
k79_32290	16.9393
k79_131	8.4486
k79_18474	5.87952
k79_132	4.78947
k79_4706	7.2459
k79_32291	7.27803
k79_9338	31.8547
k79_32292	6.27612
k79_9339	9.34437
k79_4707	2.76344
k79_133	4.44697
k79_13866	5.58848
k79_134	12.2321
k79_9340	3.9505
k79_32293	6.74632
k79_4708	3.90336
k79_135	11.2541
k79_18475	5.47378
k79_136	6.42553
k79_18476	3.4188
k79_32294	5.85055
k79_137	5.31737
k79_18477	3.54626
k79_32295	1.71429
k79_138	12.0147
k79_9341	7.80964
k79_18478	4.07534
k79_9342	2.03817
k79_4709	9.70531
k79_32296	3.57322
k79_18479	4.54128
k79_139	4.28617
k79_4710	3.38346
k79_9343	5.0
k79_32297	4.18898
k79_4711	4.64894
k79_32298	4.23364
k79_9344	3.97391
k79_4712	4.73885
k79_32299	6.38947
k79_140	4.77822
k79_18480	7.41729
k79_9345	5.07534
