contigs	predictions
k79_27613	
k79_9253	2;1239;186801;3085636;186803;2569097;39488
k79_73	2;1239;186801;3085636;186803
k79_27614	2;976;200643;171549;815;909656;821
k79_4634	
k79_9254	2;976;200643;171549;815;816
k79_13828	2;1239;186801;186802;216572;216851;853
k79_27615	
k79_74	2;976;200643;171549;2005525;375288;46503
k79_4635	2;1239;186801;186802;216572;2892396;2714353
k79_9255	2;976;200643;171549;815;909656;821
k79_27616	2;976;200643;171549;815;816;820
k79_13829	2;1239;186801;3085636;186803;207244;649756
k79_9256	2;976;200643;171549;815;909656;821
k79_27617	2;1239;186801
k79_13830	
k79_75	2;1239;186801;3085636;186803;1766253;39491
k79_4636	2;1239;186801;186802;216572;1263;2564099
k79_9257	2;976;200643;171549;815;816;820
k79_27618	
k79_76	
k79_13831	2;976;200643;171549;815;816;820
k79_9258	2;976;200643;171549;2005525;375288
k79_27619	
k79_77	2;1239;186801;3085636;186803;207244;649756
k79_13832	2;1239;186801;3085636;186803;207244;649756
k79_27620	2;976;200643;171549;815;909656;821
k79_4637	2;976;200643;171549;815;909656;821
k79_9259	2;976;200643;171549;815;909656;821
k79_78	2;1239;186801;186802;216572;1263;2564099
k79_27621	2;976;200643;171549
k79_4638	
k79_79	2;1239;186801;3085636;186803;572511
k79_9260	2759;7711;40674;9443;9604;9605;9606
k79_4639	
k79_80	2;976;200643;171549;815;909656;821
k79_13833	2;1239;186801;186802;216572;1263;2564099
k79_81	
k79_27622	2;1239;186801;186802;216572;1263;2564099
k79_32227	2;1239;186801;3085636;186803;3342669;45851
k79_82	2;1239;186801;3085636;186803;2944152;2763670
k79_32228	2;1239;186801;186802;216572;2892396;2714355
k79_4640	2;1239;186801;186802;216572;1263;2564099
k79_27623	
k79_9261	2;1239;186801;3085636;186803;572511;1796616
k79_32229	2;1239;186801;186802;216572;216851;853;657322
k79_9262	
k79_83	
k79_32230	
k79_84	2;1239;186801;3085636;186803;207244;649756
k79_32231	
k79_18443	
k79_9263	2;976;117743;200644;2762318;59732;2497456
k79_18444	2;976;200643;171549;815;909656;821
k79_32232	2;1239;186801;186802;216572;459786;2763056
k79_85	2;1239;186801;3085636;186803;2569097;39488
k79_18445	2;976;200643;171549;815;909656;821
k79_86	
k79_9264	2;976;200643;171549;815;909656;821
k79_87	2;1239;186801;186802;216572;2892396;2714355
k79_32233	2;1239;186801;3085636;186803;207244;649756
k79_32234	2;976;200643;171549;815;816
k79_88	
k79_4641	
k79_32235	2;1239;186801;3085636;186803;207244;649756
k79_89	
k79_13834	2;1239;91061;1385;186817;1386;1428
k79_9265	
k79_90	
k79_32236	2;976;200643;171549;815;909656;821
k79_9266	
k79_4642	2;976;200643;171549;815;816;46506;449673
k79_32237	2;976;200643;171549;2005519;397864;397865;880074
k79_9267	
k79_91	2
k79_9268	
k79_4643	2;976;200643;171549;815;816;820
k79_92	
k79_4644	2;976;200643;171549;815;909656;821
k79_32238	2;1239;186801;3085636;186803;2569097;39488
k79_93	2;1239;186801;186802;216572;1263;2564099
k79_94	2;1239;186801;3085636;186803;189330;88431
k79_32239	2;976;200643;171549;815;909656;821
k79_4645	2;1239;186801;3085636;186803;2569097;39488
k79_9269	2;976;200643;171549;815;816;820
k79_32240	
k79_95	2;1239;186801;186802;216572;2892396;2714353
k79_9270	2;74201;203494;48461;1647988;239934;239935
k79_32241	2;1239;186801;186802;216572;2892396;2714353
k79_9271	2;976;200643;171549;2005525;375288;46503
k79_18446	2;1239;186801;3085636;186803;3342669;45851
k79_32242	
k79_96	2;1239;186801;3085636;186803;189330;88431
k79_18447	2;1239;186801;3085636;186803
k79_9272	2;1239;186801;3085636;186803;2569097;39488
k79_9273	
k79_4646	
k79_97	2;1239;186801;3085636;186803;207244;649756
k79_4647	
k79_18448	2;1239;186801;186802;216572;1263;2564099
k79_9274	2;976;200643;171549;815;816;820
k79_4648	
k79_9275	
k79_18449	2;1239;186801;3085636;186803;207244;649756
k79_98	2;976;200643;171549
k79_4649	
k79_9276	
k79_4650	2;1239;186801;186802;31979;1485;29341
k79_18450	2;976;200643;171549;815;816
k79_99	
k79_9277	2;976;200643;171549;171550;239759;1288121
k79_4651	
k79_32243	
k79_18451	2;976;200643;171549;815;909656;821
k79_9278	2;1239;186801;3085636;186803;2569097;39488
k79_4652	2;1239;186801;3085636;186803;2569097;39488
k79_9279	2;976;200643;171549;815;909656;387090
k79_9280	
k79_18452	2;1239;186801;3085636;186803;2569097;39488
k79_9281	
k79_4653	2;976;200643;171549;815;909656;821
k79_27624	2;1239;186801;3085636;186803;841;166486
k79_32244	2;1239;186801;186802;216572;1263;2564099
k79_9282	
k79_4654	2;1239;186801;3085636;186803;1843210;3081750
k79_27625	
k79_4655	2;976;200643;171549;815;816;820
k79_32245	
k79_4656	
k79_27626	2;976;200643;171549;815;816;820
k79_32246	
k79_4657	2;976;200643;171549;815;909656;821
k79_27627	2;976;200643;171549;815;909656;821
k79_9283	2;1239;91061;186826;33958;2767893;1588
k79_4658	2;1239;186801;3085636;186803;189330;88431
k79_27628	2;976;200643;171549;815;909656;821
k79_9284	2;976;200643;171549;171550;239759;214856
k79_27629	
k79_9285	
k79_32247	
k79_9286	2;1239;186801;3085636;186803;207244;649756
k79_27630	2;1239;186801;186802;31979;1485;1502;451752
k79_32248	
k79_9287	
k79_9288	
k79_27631	2;1239;186801;186802;216572;216851;853;718252
k79_4659	
k79_9289	
k79_32249	2;976;200643;171549
k79_4660	2;1239;186801;3085636;186803;207244;649756
k79_27632	2;1239;186801;186802;216572;2892396;2714355
k79_32250	2;1239;186801;3085636;186803;2569097;39488
k79_9290	2;1239;186801;3085636;186803;2569097;39488
k79_9291	
k79_32251	2;976;200643;171549;815;909656;821
k79_32252	2;976;200643;171549;815;816;820
k79_9292	
k79_32253	2;1239;186801;186802;216572;2892396;2714353
k79_100	2;1239;186801;186802;216572;1263;1264;697329
k79_4661	
k79_9293	2;1239;186801;186802;216572;1263;2564099
k79_32254	2;976;200643;171549;815;816;47678
k79_101	
k79_27633	
k79_9294	2;1239;186801;3085636;186803;3342669;45851
k79_4662	
k79_102	2;1239;186801;186802;216572;1263;2564099
k79_32255	2;976;200643;171549;815;816;28111
k79_27634	2;976;200643;171549;815;816;28111
k79_9295	2;1239;186801;3085636;186803;207244;649756
k79_4663	
k79_27635	
k79_9296	
k79_32256	2;976;200643;171549;171550;239759;2585119
k79_103	2;976;200643;171549;815;909656;821
k79_4664	2;1239;186801;3085636;186803;207244;649756
k79_27636	
k79_27637	2;1239;186801;3085636;186803
k79_4665	2;1239;186801;3085636;186803;207244;649756
k79_104	2;1239;186801;3085636;186803;2569097;39488
k79_4666	
k79_27638	2;1239;186801;186802;216572;1263;2564099
k79_105	2;976;200643;171549;815;816;818
k79_4667	2;1239;186801;3085636;186803;2569097;39488
k79_32257	2;1239;91061;1385;186817;2675232;1193713
k79_27639	
k79_4668	2;976;200643;171549;815;909656;821
k79_27640	
k79_106	
k79_27641	
k79_27642	2;976;200643;171549;2005525;375288;46503
k79_4669	2;1239;186801;186802;216572;2892396;2714353
k79_27643	
k79_9297	2;1239;186801;3085636;186803;2316020;33039;657313
k79_4670	2;976;200643;171549;815;816;820
k79_27644	2;976;200643;171549
k79_107	
k79_9298	131567
k79_4671	
k79_27645	2;1239;186801;3085636;186803;2569097;39488
k79_9299	2;1239;186801;3085636;186803;2316020;46228;471875
k79_32258	2;1239;186801;186802;31979;1485;238834
k79_4672	2;74201;203494;48461;1647988;239934;239935
k79_9300	2;1239;186801;3085636;186803
k79_27646	2;976;200643;171549;815;816
k79_32259	
k79_27647	2;976;200643;171549;815;909656;821
k79_32260	
k79_9301	2;1239;186801;186802;216572;1263;2564099
k79_27648	
k79_32261	
k79_108	
k79_27649	2;976;200643;171549;815;816;820
k79_9302	2;976;200643;171549;815;816
k79_109	2;976;200643;171549;2005525;375288;46503
k79_4673	2;1239;186801;186802;216572;1263;2564099
k79_32262	
k79_13835	2;976;200643;171549;815;816;817
k79_9303	2;976;200643;171549;815;909656;821
k79_110	
k79_9304	
k79_9305	2;976;200643;171549;815;909656;821
k79_111	2;976;200643;171549;815;816;820
k79_4674	2;1239;186801;3085636;186803;2569097;39488
k79_13836	2;1239;186801;3085636;186803;2569097;39488
k79_27650	2;1239
k79_9306	2;74201;203494;48461;1647988;239934;239935
k79_13837	2;1239;186801;3085636;186803;2569097;39488
k79_32263	2;1239;186801;3085636;186803;572511;1796616
k79_27651	
k79_9307	2;976;200643;171549;815;909656;821
k79_4675	
k79_13838	2;976;200643;171549;815;909656;821
k79_32264	2;1239;186801;3085636;186803;2569097;39488
k79_27652	
k79_112	
k79_4676	2;1239;186801;3085636;186803;2569097;39488
k79_27653	
k79_113	
k79_32265	2;976;200643;171549;815;816;820
k79_13839	2;1239;186801;186802;216572;1263;2564099
k79_9308	2;976;200643;171549;815;909656;821
k79_27654	
k79_13840	2;1239;186801;3085636;186803;189330;88431
k79_32266	2;1239;186801;3085636;186803;2569097;39488
k79_9309	
k79_9310	
k79_32267	2;976;200643;171549;815;909656;821
k79_13841	2;976;200643;171549;815
k79_4677	
k79_9311	2;976;200643;171549;815;816
k79_32268	
k79_13842	
k79_27655	2;976;200643;171549;815;909656;821
k79_32269	2;976;200643;171549
k79_4678	2;976;200643;171549;815;909656;821
k79_27656	2;1239;186801;3085636;186803;207244;649756
k79_32270	2;976;200643;171549;815;909656;821
k79_27657	2;1239;186801;3085636;186803;28050;39485
k79_32271	
k79_9312	2;1239;186801;186802;216572;459786;2109687
k79_4679	2;1239;186801;186802;216572;1263;2564099
k79_4680	2;976;200643;171549;815;816;820
k79_9313	2;976;200643;171549;815;816;820
k79_4681	2;1239;186801;3085636;186803;2569097;39488
k79_27658	2;1239;186801;3085636;186803;207244;649756
k79_9314	2;1239;186801;3085636;186803;2569097;39488
k79_9315	2;1239;186801;186802;186806;1730;39496
k79_32272	2;1239;186801;186802;216572;216851;411483
k79_27659	
k79_4682	
k79_32273	2;976;200643;171549;2005525;375288;46503
k79_27660	2;976;200643;171549;815;816;820
k79_13843	
k79_9316	
k79_32274	2;1239;186801;186802;216572;1263;2564099
k79_27661	2;976;200643;171549;815;816;820
k79_4683	
k79_13844	
k79_114	2;1239
k79_27662	2;1239;186801;3085636;186803;3342669;45851
k79_115	
k79_27663	2;976;200643;171549;815;816
k79_4684	
k79_13845	2;1239;186801;186802;216572;1263;2564099
k79_116	2;1239;186801;3085636;186803;207244;649756
k79_27664	2;1239;186801;186802;216572;1263;2564099
k79_13846	
k79_4685	
k79_27665	
k79_13847	2;976;200643;171549;815;816;820
k79_23054	2759;7711;40674;9443;9604;9605;9606
k79_4686	2;1239;186801;186802;216572;1263;2564099
k79_32275	2;976;200643;171549;815;909656;376805;667015
k79_4687	2;976;200643;171549;815;816;820
k79_23055	2;1239;186801;186802;216572;1263;2564099
k79_27666	2;976;200643;171549;815;909656;821
k79_13848	
k79_18453	2;1239;186801;186802;216572;1263;2564099
k79_13849	2;976;200643;171549;815;816
k79_23056	2;1239;186801;186802;216572;1263;2564099
k79_32276	2;1239;186801;3085636;186803;207244;649756;649757
k79_18454	
k79_13850	
k79_18455	
k79_9317	2;1239;186801;3085636;186803;207244;649756
k79_32277	
k79_32278	
k79_13851	2;1239;186801;186802;216572;1263;2564099
k79_13852	
k79_4688	2;976;200643;171549;815;816;818
k79_32279	2;544448;31969;2085;2092;2093;2095;40480
k79_18456	
k79_9318	2;1239;186801;3085636;186803;207244;649756
k79_117	
k79_13853	2;1239;186801;3085636;186803;2569097;39488
k79_23057	
k79_9319	2;976;200643;171549;815;816;820
k79_13854	2;1239;186801;186802;31979;1485;97138
k79_9320	2;1239;186801;3085636;186803;2569097;39488
k79_4689	2;1239;186801;3085636;186803;2569097;39488
k79_13855	2;1239;186801;3085636;186803;2569097;39488
k79_4690	2;1239;186801;3085636;186803
k79_13856	
k79_32280	
k79_9321	
k79_13857	
k79_4691	
k79_9322	
k79_13858	2;1239;186801;3085636;186803;2569097;39488
k79_18457	2;1239;186801;3085636;186803;2569097;39488
k79_118	2;1239;91061;186826;81852;2737;218144
k79_4692	2;1239;186801;186802;216572;1263;2564099
k79_23058	2;1239;186801;186802;216572;1263;2564099
k79_13859	
k79_4693	2;1239;186801;186802;216572;216851
