task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
117	c9/d1ad68	1549161	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.6_sub)	COMPLETED	0	2026-05-25 17:34:32.209	14m 4s	14m 3s	280.9%	9 GB	13.5 GB	90.9 GB	104.3 MB
115	0f/a05161	1609811	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.44)	COMPLETED	0	2026-05-25 17:38:39.373	14m 23s	14m 22s	300.0%	10.5 GB	14.9 GB	90.4 GB	86.1 MB
106	45/506a97	1678402	BIN_ANNOTATION:BAKTA_BAKTA (ERR011347_MEGAHIT_TaxVamb_dRep.2)	COMPLETED	0	2026-05-25 17:48:36.337	12m 14s	12m 13s	293.3%	7.8 GB	12.4 GB	90.2 GB	64.1 MB
107	40/ec6f5d	1722633	BIN_ANNOTATION:BAKTA_BAKTA (ERR011347_MEGAHIT_TaxVamb_dRep.43)	COMPLETED	0	2026-05-25 17:53:02.125	12m 1s	12m	319.6%	7.9 GB	12.5 GB	89.9 GB	64.2 MB
113	dc/7ae16d	1776114	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.20)	COMPLETED	0	2026-05-25 18:00:50.266	12m 42s	12m 41s	337.4%	9.8 GB	14.3 GB	89.9 GB	58.1 MB
111	8b/cc1fa6	1815722	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.15_sub)	COMPLETED	0	2026-05-25 18:05:03.030	14m 9s	14m 8s	300.2%	10.1 GB	14.5 GB	90.5 GB	87.7 MB
119	31/ee3d09	1887240	BIN_ANNOTATION:BAKTA_BAKTA (ERR011349_MEGAHIT_TaxVamb_dRep.2)	COMPLETED	0	2026-05-25 18:13:32.517	12m 34s	12m 33s	317.6%	7.8 GB	12.4 GB	90.7 GB	119.9 MB
108	e3/16cf98	1923923	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_MetaBinner_dRep.1)	COMPLETED	0	2026-05-25 18:19:12.255	11m 52s	11m 51s	327.3%	8.7 GB	13.1 GB	90.6 GB	121.8 MB
116	df/9a9a19	1952718	BIN_ANNOTATION:BAKTA_BAKTA (ERR011348_MEGAHIT_TaxVamb_dRep.5)	COMPLETED	0	2026-05-25 18:26:06.999	12m 49s	12m 48s	272.4%	8.2 GB	12.6 GB	91.6 GB	130.5 MB
120	2a/05a532	2009054	BIN_ANNOTATION:BAKTA_COLLECT_ANNOTATION_STATS (dereplicated_bins)	COMPLETED	0	2026-05-25 18:39:25.941	1.4s	440ms	93.6%	4.2 MB	19.5 MB	90.7 MB	3.3 KB
