Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_48276	11.095454	14.606871	1
k79_36200	27.47934	35.149124	1
k79_84433	5.92	5.3476	0.91333336
k79_36201	5.2018347	6.1941314	1
k79_12085	3.285421	4.249957	1
k79_84434	4.1452513	4.876231	1
k79_36202	5.612245	7.6817846	1
k79_84435	3.2773724	3.8430057	1
k79_36203	6.647887	7.8977833	1
k79_48277	5.620061	7.817887	1
k79_60301	5.1148725	6.677652	1
k79_84436	7.7884617	7.895079	1
k79_48278	3.3804348	3.7289565	1
k79_59	6.254729	8.086089	1
k79_60302	5.7719297	6.0768185	1
k79_48279	2.982301	4.574943	1
k79_60303	1.9207921	3.195777	1
k79_84437	2.697861	3.635654	1
k79_48280	5.3369565	7.0435843	1
k79_12086	5.4453554	6.748774	1
k79_84438	2.5071428	4.149	1
k79_36204	4.7885118	5.8015037	1
k79_61	7.0384617	16.829351	1
k79_60304	4.0817204	5.2171707	1
k79_12087	4.157191	5.3595104	1
k79_36205	4.265896	5.8624144	1
k79_48281	3.6638656	4.575967	1
k79_36206	2.46789	3.8713324	1
k79_62	5.59322	7.8034916	1
k79_36207	3.93007	4.829398	1
k79_48282	5.143533	6.6503954	1
k79_84439	6.658259	8.652526	1
k79_48283	3.8185184	5.2521076	1
k79_12088	9.319018	11.727648	1
k79_84440	2.8454106	4.2129207	1
k79_84441	3.7302325	4.395288	1
k79_48284	3.159292	4.1009207	1
k79_48285	3.7337277	5.343409	1
k79_24136	15.748549	20.935696	1
k79_48286	6.068182	7.1619644	1
k79_84442	8.330754	9.771196	1
k79_24137	4.80916	5.7091813	1
k79_12089	6.6424527	8.535168	1
k79_24139	2.2376237	4.3941936	1
k79_36208	6.7481403	8.635242	1
k79_12090	10.378882	10.316914	1
k79_36209	4.5773196	6.08912	1
k79_84443	3.994681	5.1959352	1
k79_63	6.027135	7.852274	1
k79_60306	5.624922	7.4183593	1
k79_24140	6.9905915	8.860328	1
k79_12091	10.044164	12.533438	1
k79_24141	7.49763	8.610229	1
k79_48287	5.3766937	6.96816	1
k79_64	3.7028985	4.570598	1
k79_12092	2.9641025	3.4875653	1
k79_24142	14.712872	12.3836355	1
k79_24143	6.135514	7.7128854	1
k79_12093	14.334004	17.35697	0.9984544
k79_24144	6.163265	6.75202	1
k79_12094	6.5285716	7.2607503	1
k79_24145	3.7387388	3.4575	1
k79_12095	12	12.217468	1
k79_24146	2.6132076	3.5250292	1
k79_84444	9.401111	12.186358	1
k79_36210	9.853559	12.825467	1
k79_65	40.832607	52.105087	1
k79_36211	3.5225224	3.8416667	1
k79_12096	4.3399014	5.410117	1
k79_24147	3.496674	4.50453	1
k79_36212	3.8403757	4.9719424	1
k79_24148	3.3969467	5.352358	1
k79_66	2.9382715	3.6260264	1
k79_84445	8.800298	11.235823	1
k79_48288	6.678662	8.642936	1
k79_84446	3.2442749	3.9250624	1
k79_24149	7.8967137	7.7341323	1
k79_48289	4.91866	5.86523	1
k79_24150	4.8300834	5.9096766	1
k79_48290	2.440367	4.645599	1
k79_84447	5.7004833	6.933391	1
k79_24151	5.107527	4.951482	1
k79_84448	5.1868134	7.072811	1
k79_48291	4.2403846	4.7370477	1
k79_67	7.6319084	10.035792	1
k79_48292	4.029197	5.2404623	1
k79_68	10.208333	10.189787	1
k79_48293	4.9673204	5.956485	1
k79_84449	4.5764194	6.101805	1
k79_60307	5.8947077	7.735456	1
k79_36213	4.590341	6.037049	1
k79_69	5.8934107	7.5275903	1
k79_48294	3.6681318	5.303405	1
k79_36214	5.9793105	8.497246	1
k79_24152	8.919171	11.5105295	0.9928251
k79_36215	8.90991	9.988334	1
k79_48295	5.736434	6.8282533	1
k79_12097	5.4509974	7.103642	1
k79_60308	4.7988396	6.313696	1
k79_36216	4.726415	5.875049	1
k79_48296	4.881188	4.3941936	1
k79_60309	4.373913	5.6755195	1
k79_70	4.8319325	6.086526	1
k79_71	5.382979	5.342121	1
k79_60310	3.3314607	4.279711	1
k79_48297	6.65618	8.42584	1
k79_48298	2.523605	3.926926	1
k79_12098	28.060158	33.853203	1
k79_36217	6.820909	8.502685	1
k79_12099	2.3960395	3.9947212	1
k79_72	4.8076434	6.5415163	1
k79_12100	15.730434	14.377981	1
k79_73	7.611111	6.995407	1
k79_24153	5.702196	7.456681	1
k79_84450	6.582512	8.60128	1
k79_12101	4.1823206	4.5438447	1
k79_24154	6.821429	6.5059066	1
k79_84451	3.475	5.1990557	1
k79_74	4.4592834	5.2656894	1
